NBLC HIGHLIGHT,NBLC MEMBER PHOTO,NBLC Member,FILE NAME,Location,FZ Name,Zone Code,Zone Name,Market Code,Market,Market Manager ,Field Consultant Name,Store Manager,Store Type,Address ,City,State or Province,Postal Code,Country ,Open Status Code,Open Date,Close Date,Vicinity,Phone Number,CDC Code,CDC Name,Wholesale Center,DMA Code,DMA Name,Wholesale Center,Alcohol Flag,Liquor Flag,Gas Flag,Gas Brand,BCP,Store Name,Store Type,Region,FC Email
,,,,11707,"7-eleven, Inc ",72599,Liberty,2543,Maryland Coastal Plains,Abdallah Jaffa,Clifford Chapman,Nancy Moore,C,3395 LEONARDTOWN ROAD,Waldorf,MD,20601,US,O,06/01/1970,,Md Rt 5 at St Charles,(301)645-4359,NVA,No. Virginia,MZ,511,Washington Dc-Md,MZ,N,N,N,,N,7-Eleven Store,Suburban Commuter,EAST,"Chapman, Clifford"
,,,,12175,"7-eleven, Inc ",71699,Lone Star,1602,Plano/Richardson,Aklilu Woldemariam,Charles E Bryant,Ravi & Swaran Milik,C,120 S CENTRAL EXPWY,Richardson,TX,75080,US,O,03/01/1984,,Central Expnr Beltline,(972)238-0585,NTX,No. Texas,SW,623,Dallas-Ft. Worth,SW,Y,N,N,,N,7-Eleven Store,Suburban Commuter,WEST,"Bryant, Charles"
,,,,12301,"7-eleven, Inc ",71699,Lone Star,1601,South East Dallas,John Mcfadden,Brent J Tischler,Shelia Henry,C,2911 EAST LEDBETTER,Dallas,TX,75216,US,O,01/26/1985,,E Ledbetter Nr Sunnyvale,(214)374-0901,NTX,No. Texas,SW,623,Dallas-Ft. Worth,SW,Y,N,Y,7-Eleven,N,7-Eleven Store,Suburban Commuter,WEST,"Tischler, Brent"
,,,,13111,"7-eleven, Inc ",71999,Heartland,1604,South Colorado,Tracy Petrovic,Francis A Niccoli,Linda Laydon,C,2727 SOUTH PRAIRIE,Pueblo,CO,81005,US,O,04/09/1968,,2727 S Prairie,(719)564-0447,COL,Colorado,MW,752,Colorado Springs Co,MW,Y,N,N,,N,7-Eleven Store,Suburban Neighborhood,WEST,"Niccoli, Francis"
,,,,13204,"7-eleven, Inc ",71999,Heartland,1605,North Denver,Lori Weiss,FC UNASSIGNED,P.kumar H.rani,C,10201 MONTVIEW,Aurora,CO,80010,US,O,11/01/1963,,Montview at Galena,(303)341-6089,COL,Colorado,MW,751,Denver-Ft. Collins,MW,Y,N,Y,7-Eleven,N,7-Eleven Store,Suburban Neighborhood,WEST,"UNASSIGNED, FC"
,,,,13349,"7-eleven, Inc ",71999,Heartland,1911,South Chicago,Alan Valente,Samantha C Gibson,Jeff Jones,C,235 W ROMEO ROAD,Romeoville,IL,60446,US,O,01/01/1973,,Romeo Nr Ill Rt #53,(815)886-0006,CGO,Chicago,MI,602,Chicago Il,MI,Y,Y,N,,N,7-Eleven Store,Suburban Neighborhood,WEST,"Gibson, Samantha"
,,,,14361,"7-eleven, Inc ",72399,North Pacific,2360,North Puget Sound,Theresa Sigurjonsson,Rebecca E Godbey,Store Mgr Unassigned,C,13417 ROOSEVELT WAY N,Seattle,WA,98133,US,O,01/15/1967,,Roosvlt Way Ne Nr 2 Av Ne,(206)364-4470,PNW,Pacific Northwest,NW,819,Seattle-Tacoma Wa,NW,Y,N,N,,N,7-Eleven Store,Suburban Commuter,WEST,"Godbey, Rebecca"
,,,,14459,"7-eleven, Inc ",72399,North Pacific,2361,South Puget Sound,G Christopher Arnold,Amy D Rhodes,Song Trog,C,10812 BRIDGEPORT WAY,Lakewood,WA,98499,US,O,01/01/1965,,10808 Sw Bridgeport Way,(253)584-7412,PNW,Pacific Northwest,NW,819,Seattle-Tacoma Wa,NW,Y,N,N,,N,7-Eleven Store,Suburban Commuter,WEST,"Rhodes, Amy"
,,,,14502,"7-eleven, Inc ",72399,North Pacific,2363,Oregon,Kristen Bill,Jack D Dyal,Jenny Weiss,C,6207 SE MILWAUKIE AVE,Portland,OR,97202,US,O,04/15/1968,,Milwaukie Se at Carlton,(503)232-7797,PNW,Pacific Northwest,NW,820,Portland Or,NW,Y,N,N,,N,7-Eleven Store,Suburban Neighborhood,WEST,"Dyal, Jack"
,,,,15058,"7-eleven, Inc ",71399,Patriot,2516,Hampton,Robert Laviolette,Randal A Wilson,Marvin Ward,C,486 WYTHE CREEK RD,Poquoson,VA,23662,US,O,11/01/1971,,Wythe Creek at Hudgins,(757)868-6011,TDW,Tidewater,NC,544,Norfolk-Portsmouth,NC,Y,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"Wilson, Randal"
,,,,15406,"7-eleven, Inc ",71399,Patriot,2515,Richmond,James Boone,Donald R Libbon,Jeffery Gaul,C,9700 JEFFERSON DAVIS HWY,Richmond,VA,23237,US,O,05/01/1972,,Jeff Davis at Perlock,(804)743-9437,RCH,Richmond,NC,556,Richmond,NC,Y,N,Y,7-Eleven,N,7-Eleven Store,Suburban Neighborhood,EAST,"Libbon, Donald"
,,,,15433,"7-eleven, Inc ",71199,Pennjersey,2411,South Nj,Christopher Stewart,Scott W Francois,*,C,610 KRESSON RD,Cherry Hill,NJ,08034,US,O,12/01/1972,,Kresson Nr N J Turnp,(856)429-1297,PJY,Penn/Jersey,PA,504,Philadelphia,PA,N,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"Francois, Scott"
,,,,15548,"7-eleven, Inc ",71399,Patriot,2531,Charlottesville,Jon Mastropaolo,Michael W Kirby,Gwen Smoot,C,101 BYRD STREET,Orange,VA,22960,US,O,06/01/1972,,Byrd St at Main,(540)672-5478,RCH,Richmond,MZ,556,Richmond,MZ,Y,N,Y,7-Eleven,N,7-Eleven Store,Rural,EAST,"Kirby, Michael"
,,,,15558,"7-eleven, Inc ",71099,Appalachian,1971,Southwest Detroit,David Heagle,Patricia A Risk,Eileen Niewczycki,C,1121 N CAMPBELL,Royal Oak,MI,48067,US,O,12/01/1973,,Swc Campbell Rd at Derby,(248)545-2080,DTR,Detroit,MI,505,Detroit,MI,Y,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"Risk, Patricia"
,,,,15706,"7-eleven, Inc ",71199,Pennjersey,2408,Philly Delaware,Janice Tangradi,FC UNASSIGNED,Store Mgr Unassigned,C,3967-81 KENSINGTON AVENUE,Philadelphia,PA,19124,US,O,06/23/1984,,Torresdale at Hunting Park,(215)744-3815,PJY,Penn/Jersey,PA,504,Philadelphia,PA,N,N,Y,7-Eleven,N,7-Eleven Store,Dense Residential,EAST,"UNASSIGNED, FC"
,,,,15869,"7-eleven, Inc ",71099,Appalachian,1002,Western Ny,Jeffrey Mead,Samantha A Rosen,Tim Preusch,C,840 MAPLE RD,Williamsville,NY,14221,US,O,09/01/1972,,Maple Ave at Old Lyme,(716)688-8451,BUF,Buffalo,NE,514,Buffalo,NE,Y,N,N,,N,7-Eleven Store,Suburban Commuter,EAST,"Rosen, Samantha"
,,,,15987,"7-eleven, Inc ",71399,Patriot,2531,Charlottesville,Jon Mastropaolo,Joann M Pitman,Debbie Dillinger,C,1001 AYLOR RD,Stephens City,VA,22655,US,O,08/01/1972,,Rt Nr Rt 277,(540)869-6170,NVA,No. Virginia,MZ,511,Washington Dc-Md,MZ,Y,N,Y,7-Eleven,N,7-Eleven Store,Suburban Neighborhood,EAST,"Pitman, Joann"
,,,,16440,"7-eleven, Inc ",72499,North Atlantic,2423,New York Suffolk,Rochelle Oppedisano-ganss,Deborah A Edwards,*,C,28905 MAIN RD,Cutchogue,NY,11935,US,O,07/01/1974,,Rt 25 Nr Depot Ln,(631)734-6477,LIQ,Long Island,NE,501,New York Ny,NE,Y,N,N,,N,7-Eleven Store,Rural,EAST,"Edwards, Deborah"
,,,,16492,"7-eleven, Inc ",71199,Pennjersey,2412,South Central Nj,Michael Reintjes,Charles W Cannella,Fazel Rehman,C,415 LAWRENCEVILLE ROAD,Lawrenceville,NJ,08648,US,O,10/01/1973,,Rt 206 at Lawrence Rd,(609)278-8970,PJY,Penn/Jersey,PA,504,Philadelphia,PA,N,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"Cannella, Charles"
,,,,16516,"7-eleven, Inc ",71999,Heartland,1912,West Chicago,Rowdy Bush,Keith Harper,Daniel Kubo,C,240 CHICAGO AVE,Oak Park,IL,60302,US,O,04/01/1974,,Nwc Chicago at Harvey,(708)524-2460,CGO,Chicago,MI,602,Chicago Il,MI,N,N,N,,N,7-Eleven Store,Dense Residential,WEST,"Harper, Keith"
,,,,16570,"7-eleven, Inc ",71399,Patriot,2514,Virginia Beach,Dennis Paulenich,Todd D Washington,Desi Gibson,C,617 BATTLEFIELD BLVD,Chesapeake,VA,23320,US,O,10/01/1973,,Battlefield Nr Ashley,(757)482-4861,TDW,Tidewater,NC,544,Norfolk-Portsmouth,NC,Y,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"Washington, Todd"
,,,,16656,"7-eleven, Inc ",71399,Patriot,2516,Hampton,Robert Laviolette,Tony R Gardner,Stacy Cooper,C,1574 OLD BUCKROE RD,Hampton,VA,23664,US,O,08/01/1974,,Old Buckroe at Buckroe,(757)850-1300,TDW,Tidewater,NC,544,Norfolk-Portsmouth,NC,Y,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"Gardner, Tony"
,,,,16701,"7-eleven, Inc ",71399,Patriot,2531,Charlottesville,Jon Mastropaolo,Michael W Kirby,Pat Miller,C,207 W SHIRLEY AVE,Warrenton,VA,20186,US,O,04/01/1974,,Shipley Av Nr Moffett,(540)347-9350,RCH,Richmond,MZ,511,Washington Dc-Md,MZ,Y,N,N,,N,7-Eleven Store,Suburban Commuter,EAST,"Kirby, Michael"
,,,,16712,"7-eleven, Inc ",71999,Heartland,1937,Colorado,Donald Buck,Eugene F Mckenna,Gregory Dale,C,1245 EAST EISENHOWER,Loveland,CO,80537,US,O,07/01/1974,,Nwc E Eisenhower at Madisn,(970)663-1135,COL,Colorado,MW,751,Denver-Ft. Collins,MW,Y,N,Y,7-Eleven,N,7-Eleven Store,Suburban Commuter,WEST,"Mckenna, Eugene"
,,,,16725,"7-eleven, Inc ",71099,Appalachian,1002,Western Ny,Jeffrey Mead,Richard M Niewczyk,Ahmed Saleem/fz,C,437 DAVISON RD,Lockport,NY,14094,US,O,11/01/1973,,Davison Rd Nr High St,(716)433-1262,BUF,Buffalo,NE,514,Buffalo,NE,Y,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"Niewczyk, Richard"
,,,,16924,"7-eleven, Inc ",71099,Appalachian,2533,West Virginia,Mike Duvall,Brenda K Geatz,Ladonna Runion,C,209 MAIN ST,Romney,WV,26757,US,O,10/01/1974,,Main St at Bolton St,(304)822-4329,NVA,No. Virginia,MZ,511,Washington Dc-Md,MZ,Y,Y,Y,7-Eleven,N,7-Eleven Store,Rural,EAST,"Geatz, Brenda"
,,,,16975,"7-eleven, Inc ",71399,Patriot,2511,Norfolk,Andrew Rubin,Kathy L Wilson,Mickey Matthews,C,4001 BAINBRIDGE BVD,Chesapeake,VA,23324,US,O,10/01/1974,,Bainbridge Bvd at Freeman,(757)545-4471,TDW,Tidewater,NC,544,Norfolk-Portsmouth,NC,Y,N,N,,N,7-Eleven Store,Suburban Commuter,EAST,"Wilson, Kathy"
